
Title,Company,Location,Apply
b'Data Analyst Junior',b'Energy Jobline',"b'Calgary, Alberta, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-junior-at-energy-jobline-3644658837?refId=UbPsp5ek5IbkP0JKwfm6wQ%3D%3D&trackingId=Sgca1pP1c4bntMzmSGhgGA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Remote BI Data Analyst',b'Affinity',"b'Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/remote-bi-data-analyst-at-affinity-3636860711?refId=UbPsp5ek5IbkP0JKwfm6wQ%3D%3D&trackingId=GdT6vy%2FOw%2FgcozSVeisKCQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Sr. Data Analyst (MDM)',b'BeachHead',"b'Dieppe, New Brunswick, Canada'",b'https://ca.linkedin.com/jobs/view/sr-data-analyst-mdm-at-beachhead-3647189350?refId=UbPsp5ek5IbkP0JKwfm6wQ%3D%3D&trackingId=byFhDq7kBvuX3dt6P5Be0g%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'International Data Analysis & Visualization Specialist',b'Conestoga College',"b'Kitchener, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/international-data-analysis-visualization-specialist-at-conestoga-college-3645170011?refId=UbPsp5ek5IbkP0JKwfm6wQ%3D%3D&trackingId=t8alwVTIz8K13tUigV4z4A%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'P2 - Data Analyst',b'Randstad Canada',"b'Dieppe, New Brunswick, Canada'",b'https://ca.linkedin.com/jobs/view/p2-data-analyst-at-randstad-canada-3642133083?refId=UbPsp5ek5IbkP0JKwfm6wQ%3D%3D&trackingId=zyoclgrhfZwOtelfSEORsg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'P2 - Data Analyst',b'Randstad Canada',"b'Dieppe, New Brunswick, Canada'",b'https://ca.linkedin.com/jobs/view/p2-data-analyst-at-randstad-canada-3642133084?refId=UbPsp5ek5IbkP0JKwfm6wQ%3D%3D&trackingId=OLP3JT1ka1zo42QRRF62JQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Data Analyst, IVR'","b""President's Choice Financial""","b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-ivr-at-president-s-choice-financial-3642143174?refId=UbPsp5ek5IbkP0JKwfm6wQ%3D%3D&trackingId=9SsUFgDZw4F6%2Fp7dorI7AQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Engineer',b'VySystems',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-engineer-at-vysystems-3647560334?refId=UbPsp5ek5IbkP0JKwfm6wQ%3D%3D&trackingId=2W5pQ6LiA%2FA8A1Dypj7ABw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Business System Analyst',b'Themesoft Inc.',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/business-system-analyst-at-themesoft-inc-3647426180?refId=UbPsp5ek5IbkP0JKwfm6wQ%3D%3D&trackingId=uL7hKfxG83e40z4qH6OEwg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Analyste - Donn\xc3\xa9es et Analytique',b'Air Canada',"b'Dorval, Quebec, Canada'",b'https://ca.linkedin.com/jobs/view/analyste-donn%C3%A9es-et-analytique-at-air-canada-3647448713?refId=UbPsp5ek5IbkP0JKwfm6wQ%3D%3D&trackingId=ySbGSQ%2B%2F%2FThkOuPr7pNiPg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card'
